Y Position (in), HTC (W/m^2-K), Gas Temperature (K)
9.025010379227724755e-01,4.604193685287740664e+03,2.403021704219927869e+03
9.844223897925729050e-01,4.165721800733012969e+03,2.357558577840074122e+03
1.066343727938400932e+00,3.782554621828289328e+03,2.314220180704665381e+03
1.148265069580810538e+00,3.446265918931719625e+03,2.272836754665556782e+03
1.230186410339564107e+00,3.149965571795896722e+03,2.233273610228652615e+03
1.312107751320178428e+00,2.887907706769707147e+03,2.195412393551396690e+03
1.394029092245605117e+00,2.655454131750617762e+03,2.159167372785765565e+03
1.475950433184640254e+00,2.448526006462256191e+03,2.124443074431575496e+03
1.557871774120355601e+00,2.263755897034341615e+03,2.091160499017517850e+03
1.639793115056873418e+00,2.098283015870159943e+03,2.059246284069108697e+03
1.721714455993198944e+00,1.949667138303514776e+03,2.028631508071018970e+03
1.803635796929570434e+00,1.815819254733667094e+03,1.999250931617135166e+03
1.885557137865930599e+00,1.694945175839623062e+03,1.971042523313451511e+03
1.967478478802293207e+00,1.585499087454229766e+03,1.943947128244705937e+03
2.049399819738655815e+00,1.486146283258249468e+03,1.917908452971144470e+03
2.131321160675018422e+00,1.395729937620968030e+03,1.892872671528868750e+03
2.213242501611382362e+00,1.313246287319538624e+03,1.868788659426196091e+03
2.295163842547744970e+00,1.237821075023077128e+03,1.845607653269672937e+03
