Y Position (in), HTC (W/m^2-K)
-4.875499999999999723e+00,3.944551159249260309e+03
-4.804962991489416524e+00,3.944551159249260309e+03
-4.729987444129452712e+00,3.934957075272677230e+03
-4.655011896769488899e+00,3.925368032798292916e+03
-4.580036349409524199e+00,3.915784031119731480e+03
-4.505060802049560387e+00,3.906205069534949871e+03
-4.430085254689597463e+00,3.896631147346243779e+03
-4.355109707329633650e+00,3.887062263860258554e+03
-4.280134159969669838e+00,3.877498418387978290e+03
-4.205158612609706026e+00,3.867939610244749929e+03
-4.130183065249741325e+00,3.858385838750279618e+03
-4.055207517889777513e+00,3.848837103228640444e+03
-3.980231970529813701e+00,3.839293403008266978e+03
-3.905256423169849889e+00,3.829754737421979371e+03
-3.830280875809886076e+00,3.820221105806975629e+03
-3.755305328449922264e+00,3.810692507504840705e+03
-3.680329781089958452e+00,3.801168941861551502e+03
-3.605354233729994640e+00,3.791650408227480057e+03
-3.530378686370030383e+00,3.782136905957408544e+03
-3.455403139010066571e+00,3.772628434410522459e+03
-3.380427591650102759e+00,3.763124992950421984e+03
-3.305452044290138947e+00,3.753626580945125170e+03
-3.230476496930174690e+00,3.744133197767081128e+03
-3.155500949570211322e+00,3.734644842793168664e+03
-3.080525402210247066e+00,3.725161515404695820e+03
-3.005549854850283253e+00,3.715683214987420797e+03
-2.930574307490319441e+00,3.706209940931547862e+03
-2.855598760130355629e+00,3.696741692631736896e+03
-2.780623212770391373e+00,3.687278469487104303e+03
-2.705647665410428004e+00,3.677820270901230742e+03
-2.630672118050463748e+00,3.668367096282173861e+03
-2.555696570690499936e+00,3.658918945042464202e+03
-2.480721023330536124e+00,3.649475816599115660e+03
-2.405745475970572311e+00,3.640037710373631398e+03
-2.330769928610608499e+00,3.630604625792007482e+03
-2.255794381250644687e+00,3.621176562284778356e+03
-2.180818833890680875e+00,3.611753519286723531e+03
-2.105843286530717062e+00,3.602335496238552423e+03
-2.030867739170752806e+00,3.592922492578592482e+03
-1.955892191810789660e+00,3.583514507781222619e+03
-1.880916644450824959e+00,3.574111541188380215e+03
-1.805941097090868697e+00,3.564713592716923813e+03
-1.730965549730865805e+00,3.555320660002155364e+03
-1.655990002370971936e+00,3.545932749510345730e+03
-1.581014455010506525e+00,3.536549834971415294e+03
-1.506038907653805881e+00,3.527172005954740143e+03
-1.431063360283405528e+00,3.517798967205812914e+03
-1.356087812943883586e+00,3.508431583470305668e+03
-1.281112265402178929e+00,3.499067829009258730e+03
-1.206136719059389018e+00,3.489709434423294169e+03
-1.131161173950084864e+00,3.480376684207991730e+03
-1.056185696357270443e+00,3.470878758536081023e+03
-9.812113674391009788e-01,3.462394079051889548e+03
-9.062565853286588258e-01,3.448749450772522778e+03
-8.317722444394960446e-01,3.463216280299217487e+03
-7.661504910084743214e-01,3.621375920825056710e+03
-7.152282864522498951e-01,3.903712435953272688e+03
-6.626621868202829946e-01,4.212545681360315029e+03
-6.091355290975579706e-01,4.554936149461049354e+03
-5.563263890795061561e-01,4.949306824653340300e+03
-5.032708952376967471e-01,5.397816338713450023e+03
-4.502430490102311000e-01,5.913842790658975900e+03
-3.972575027464876340e-01,6.511957525144429383e+03
-3.441905722563460834e-01,7.208750507116730660e+03
-2.912038213394647079e-01,8.029655450080992523e+03
-2.384156377228013046e-01,9.007465319776430988e+03
-1.843404268638335897e-01,1.014427804882743476e+04
-1.338823385280167866e-01,1.160281409960681594e+04
-7.980520266224166992e-02,1.316508204935173308e+04
-8.446412769753663952e-03,1.356573401236632344e+04
6.786679180954380275e-02,1.289382817462223466e+04
1.405010766194077776e-01,1.076575288713578630e+04
2.134214790876646783e-01,9.444297794008574783e+03
2.862555398968923970e-01,8.369175618948826013e+03
3.591182617279702893e-01,7.477769069683802627e+03
4.319724365364044361e-01,6.717563458027516390e+03
5.048291292492876892e-01,6.062586469391865649e+03
5.776851004883124530e-01,5.493013828531220497e+03
6.505412731804703919e-01,4.994821961717398153e+03
7.233973901519645811e-01,4.556426124134335623e+03
7.962535223043776256e-01,4.169065191744145523e+03
8.691096503869073508e-01,3.825479869199365112e+03
9.419657795532565547e-01,3.519672424784058421e+03
1.014821908434458297e+00,3.246636398453315451e+03
1.087678037389769425e+00,3.002084434504688488e+03
1.160534166325953187e+00,2.782583302267493764e+03
1.233390295267013936e+00,2.584967672841909462e+03
1.306246424206844781e+00,2.406610033512653899e+03
1.379102553146983379e+00,2.245248189708229347e+03
1.451958682087044927e+00,2.098922999068136050e+03
1.524814811027125350e+00,1.965932642221142260e+03
1.597670939967201775e+00,1.844795980597506059e+03
1.670527068907280199e+00,1.734218375464100745e+03
1.743383197847357291e+00,1.633067548474110936e+03
1.816239326787435271e+00,1.540349892758091983e+03
1.889095455727513251e+00,1.455191907788012031e+03
1.961951584667590343e+00,1.376824126696208850e+03
2.034807713607667878e+00,1.304567270826239792e+03
2.107663842547744970e+00,1.237821075023076446e+03
